"ID","householdID","communityID","Birth_Year","Birth_Month","ba003","Current_Hukou","Marital_Status","bf004","Adult_Edu","Age_2011","Edu_Group","Area_Type"
"01020612601","010206126","0102061",1942,3,2,"1","1",NA,0,69,1,"1"
"01020612602","010206126","0102061",1941,10,2,"1","1",NA,0,70,1,"1"
"01020612701","010206127","0102061",1928,8,2,"1","1",NA,0,83,1,"1"
"01020612702","010206127","0102061",1938,12,2,"1","1",NA,0,73,1,"1"
"01020620201","010206202","0102062",1936,2,2,"1","5",1,0,75,1,"1"
"01020620602","010206206","0102062",1940,6,2,"1","1",NA,0,71,1,"1"
"01020620701","010206207","0102062",1947,1,2,"1","5",5,0,64,1,"1"
"01020620801","010206208","0102062",1932,7,2,"1","5",1,0,79,1,"1"
"01020620901","010206209","0102062",1940,5,2,"1","5",4,0,71,1,"1"
"01020621601","010206216","0102062",1945,6,2,"1","1",NA,0,66,1,"1"
"01020621602","010206216","0102062",1937,3,2,"1","1",NA,0,74,1,"1"
"01020621701","010206217","0102062",1946,2,2,"1","1",NA,0,65,1,"1"
"01020621702","010206217","0102062",1944,5,2,"1","1",NA,0,67,2,"1"
"01020621901","010206219","0102062",1938,11,2,"1","1",NA,0,73,2,"1"
"01020621902","010206219","0102062",1950,2,2,"1","1",NA,0,61,1,"1"
"01020622001","010206220","0102062",1944,12,2,"1","1",NA,0,67,2,"2"
"01020622002","010206220","0102062",1942,12,2,"2","1",NA,0,69,3,"2"
"01020622201","010206222","0102062",1935,11,2,"1","1",NA,0,76,2,"1"
"01020622202","010206222","0102062",1938,11,2,"1","1",NA,0,73,1,"1"
"01020622301","010206223","0102062",1947,4,2,"1","1",NA,0,64,1,"1"
"01020622401","010206224","0102062",1950,9,2,"1","1",NA,0,61,1,"1"
"01020622501","010206225","0102062",1941,7,2,"1","5",1,0,70,1,"1"
"01020630301","010206303","0102063",1938,8,2,"1","1",NA,0,73,1,"1"
"01020630302","010206303","0102063",1932,11,2,"1","1",NA,0,79,1,"1"
"01020630701","010206307","0102063",1945,6,2,"1","3",1,0,66,1,"1"
"01020630801","010206308","0102063",1931,7,2,"1","2",NA,1,80,1,"1"
"01020630802","010206308","0102063",1936,3,2,"1","2",NA,0,75,1,"1"
"01020630901","010206309","0102063",1932,5,2,"1","5",1,0,79,1,"1"
"01020631001","010206310","0102063",1942,12,2,"1","5",1,1,69,1,"1"
"01020631201","010206312","0102063",1943,1,2,"1","3",4,0,68,1,"1"
"01020631401","010206314","0102063",1942,10,2,"1","4",1,0,69,1,"1"
"01020631701","010206317","0102063",1938,1,2,"1","3",1,0,73,1,"1"
"01020632001","010206320","0102063",1935,10,2,"1","5",1,0,76,1,"1"
"01020632201","010206322","0102063",1947,10,2,"1","1",NA,0,64,2,"1"
"01020632202","010206322","0102063",1947,8,2,"1","1",NA,0,64,1,"1"
"01020632401","010206324","0102063",1942,9,2,"1","3",4,0,69,2,"1"
"01020632501","010206325","0102063",1946,8,2,"1","1",NA,0,65,2,"1"
"01020632502","010206325","0102063",1947,12,2,"1","1",NA,0,64,1,"1"
"01020632601","010206326","0102063",1950,4,2,"1","1",NA,0,61,3,"1"
"01020632602","010206326","0102063",1949,7,2,"1","1",NA,1,62,1,"1"
"01020633001","010206330","0102063",1948,8,2,"1","1",NA,0,63,2,"1"
"01020633002","010206330","0102063",1945,6,2,"1","1",NA,0,66,1,"1"
"01023310102","010233101","0102331",1946,12,1,"2","1",NA,0,65,2,"1"
"01023310201","010233102","0102331",1933,1,2,"1","5",NA,NA,78,NA,"1"
"01023310301","010233103","0102331",1949,6,2,"1","1",NA,0,62,2,"1"
"01023310401","010233104","0102331",1944,1,2,"1","1",NA,0,67,3,"1"
"01023310402","010233104","0102331",1948,2,1,"1","1",NA,0,63,2,"1"
"01023310901","010233109","0102331",1937,10,1,"1","3",1,0,74,1,"1"
"01023311502","010233115","0102331",1949,3,1,"1","1",NA,0,62,2,"1"
"01023311601","010233116","0102331",1938,2,2,"1","1",NA,0,73,2,"1"
"01023311602","010233116","0102331",1939,11,2,"1","1",NA,1,72,2,"1"
"01023311801","010233118","0102331",1949,1,2,"1","1",NA,0,62,1,"1"
"01023311802","010233118","0102331",1943,11,2,"1","1",NA,0,68,2,"1"
"01023312201","010233122","0102331",1930,10,1,"1","5",1,0,81,1,"1"
"01023320201","010233202","0102332",1922,1,1,"1","5",4,0,89,1,"1"
"01023320301","010233203","0102332",1945,2,1,"1","5",4,0,66,2,"1"
"01023320601","010233206","0102332",1931,3,1,"1","5",3,0,80,1,"1"
"01023320702","010233207","0102332",1948,8,1,"1","1",NA,0,63,2,"1"
"01023320801","010233208","0102332",1933,11,1,"1","1",NA,1,78,1,"1"
"01023320802","010233208","0102332",1938,12,2,"1","1",NA,0,73,1,"1"
"01023321201","010233212","0102332",1945,9,2,"1","1",NA,0,66,3,"1"
"01023321202","010233212","0102332",1951,2,1,"1","1",NA,0,60,1,"1"
"01023321301","010233213","0102332",1930,6,1,"1","5",1,0,81,1,"1"
"01023321401","010233214","0102332",1930,1,1,"1","5",1,0,81,1,"1"
"01023321501","010233215","0102332",1931,9,1,"1","1",NA,0,80,1,"1"
"01023321502","010233215","0102332",1939,4,2,"1","1",NA,0,72,1,"1"
"01023321601","010233216","0102332",1945,7,1,"1","1",NA,0,66,1,"1"
"01023321602","010233216","0102332",1946,1,2,"1","1",NA,0,65,2,"1"
"01023330301","010233303","0102333",1948,7,2,"1","1",NA,0,63,1,"1"
"01023330302","010233303","0102333",1935,9,2,"1","1",NA,1,76,4,"1"
